GP ACCOUNT,NS ACCOUNT
3-10-11-740-170,750100
3-10-11-750-111,750100
3-10-11-750-113,750100
3-10-11-750-115,750100
3-10-11-750-117,750100
3-10-11-750-118,750100
3-10-11-750-120,750100
3-10-11-750-130,750100
3-10-11-750-170,750100
3-10-11-751-100,751100
3-10-11-752-100,752100
3-10-11-752-111,752100
3-10-11-752-113,752100
3-10-11-752-117,752100
3-10-11-752-118,752100
3-10-11-752-130,752100
3-10-11-753-100,753100
3-10-11-754-111,754000
3-10-11-754-118,754000
3-10-11-754-130,754000
3-10-11-755-100,755100
3-10-11-755-111,755100
3-10-11-755-113,755100
3-10-11-755-115,755100
3-10-11-755-117,755100
3-10-11-755-118,755100
3-10-11-755-120,755100
3-10-11-755-130,755100
3-10-11-755-170,755100
3-10-11-756-100,756100
3-10-11-756-111,756100
3-10-11-756-113,756100
3-10-11-756-115,756100
3-10-11-756-118,756100
3-10-11-756-120,756100
3-10-11-756-130,756100
3-10-11-757-100,757100
3-10-11-757-111,757100
3-10-11-757-113,757100
3-10-11-757-115,757100
3-10-11-757-117,757100
3-10-11-757-118,757100
3-10-11-757-120,757100
3-10-11-757-130,757100
3-10-11-757-170,757100
3-10-11-758-111,758111
3-10-11-760-100,760100
3-10-11-760-101,760100
3-10-11-760-331,760100
3-10-11-760-332,760100
3-10-11-760-334,760100
3-10-11-760-347,760100
3-10-11-760-354,760100
3-10-11-770-111,770100
3-10-11-790-100,790100
3-10-11-810-100,810000
3-10-11-811-100,811100
3-10-11-811-110,811100
3-10-11-812-100,812100
3-10-11-813-100,813000
3-10-11-814-100,814100
3-10-11-815-100,815100
3-10-11-816-100,815100
3-10-11-817-100,817000
3-10-11-820-100,820000
3-10-11-820-101,820101
3-10-11-821-100,821100
3-10-11-821-101,821101
3-10-11-822-100,822000
3-10-11-822-120,822000
3-10-11-822-130,822000
3-10-11-822-170,822000
3-10-11-823-100,823000
3-10-11-823-101,823101
3-10-11-823-104,823000
3-10-11-823-116,823000
3-10-11-824-100,824000
3-10-11-825-100,825000
3-10-11-830-100,830000
3-10-11-830-114,830000
3-10-11-831-100,831000
3-10-11-832-100,832000
3-10-11-832-112,832000
3-10-11-832-116,832000
3-10-11-833-100,833000
3-10-11-833-112,833000
3-10-11-833-116,833000
3-10-11-834-100,834000
3-10-11-840-100,840000
3-10-11-841-100,841000
3-10-11-842-100,842000
3-10-11-843-100,843000
3-10-11-844-100,844000
3-10-11-845-100,845000
3-10-11-846-100,846000
3-10-11-860-100,860000
3-10-11-860-112,860000
3-10-11-862-100,863000
3-10-11-863-100,865000
3-10-11-864-100,865000
3-10-11-865-100,866000
3-10-11-865-101,867000
3-10-11-866-100,868000
3-10-11-867-100,869000
3-10-11-870-100,870000
3-10-11-870-112,870000
3-10-11-870-114,870000
3-10-11-870-116,870000
3-10-11-871-100,871100
3-10-11-871-112,871100
3-10-11-871-114,871100
3-10-11-871-116,871100
3-10-11-872-100,872100
3-10-11-872-112,872100
3-10-11-872-114,872100
3-10-11-872-116,872100
3-10-11-873-100,873100
3-10-11-873-112,873100
3-10-11-873-114,873100
3-10-11-873-116,873100
3-10-11-874-100,874100
3-10-11-874-112,874100
3-10-11-874-114,874100
3-10-11-874-116,874100
3-10-11-880-112,880100
3-10-11-890-100,890000
3-10-11-890-101,890101
3-10-11-890-117,890000
3-10-11-891-100,891100
3-10-11-891-170,891100
3-10-11-891-171,891200
3-10-11-901-100,901100
3-10-11-901-101,901100
